# t(s), PGD_base(m), Drift_abs(m), Drift_norm(mm/m), Prob(%)
13.270, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.275, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.280, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.285, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.290, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.295, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.300, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.305, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.310, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.315, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.320, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.325, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.330, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.335, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.340, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.345, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.350, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.355, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.360, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.365, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.370, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.375, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.380, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.385, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.390, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.395, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.400, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.405, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.410, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.415, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.420, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.425, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.430, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.435, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.440, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.445, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.450, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.455, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.460, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.465, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.470, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.475, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.480, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.485, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.490, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.495, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.500, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.505, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.510, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.515, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.520, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.525, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.530, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.535, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.540, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.545, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.550, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.555, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.560, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.565, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.570, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.575, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.580, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.585, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.590, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.595, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.600, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.605, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.610, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.615, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.620, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.625, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.630, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.635, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.640, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.645, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.650, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.655, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.660, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.665, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.670, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.675, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.680, 4.440579e-06, 4.695798e-06, 0.00, 0.00
13.685, 4.440579e-06, 4.695798e-06, 0.00, 0.00
